vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
4081,20220720 17:23,41.892032051086424,-87.62012481689453,7,4357,66,Pulaski,3031,False,88353410,66 -812,
2027,20220720 17:24,41.896677303314206,-87.63171443939208,263,4357,66,Pulaski,7879,False,88353410,66 -812,
4098,20220720 17:23,41.89634704589844,-87.65468157254733,270,4357,66,Pulaski,14544,False,88353408,66 -857,
4122,20220720 17:24,41.89609848022461,-87.66622802734375,272,4357,66,Pulaski,17703,False,88353406,66 -811,
8162,20220720 17:23,41.89588806476999,-87.67825577106882,268,4357,66,Pulaski,21255,False,88353404,66 -855,
8172,20220720 17:24,41.895875890204245,-87.67881190523188,273,4357,66,Pulaski,21406,False,88353402,66 -816,
4126,20220720 17:23,41.89486459585336,-87.76009075458234,90,6662,66,Navy Pier,4017,False,10005630,66 -803,
8156,20220720 17:24,41.89544086179872,-87.70889271169469,86,6662,66,Navy Pier,18063,False,10005608,SN  -857,
1972,20220720 17:23,41.89556884765625,-87.7006818331205,88,6662,66,Navy Pier,20330,False,10005607,66 -815,
1983,20220720 17:23,41.89622116088867,-87.65575981140137,86,6662,66,Navy Pier,32584,False,10005596,N66 -892,
4075,20220720 17:23,41.89665508270264,-87.6273422241211,91,6662,66,Navy Pier,40403,False,10005590,66 -809,
1934,20220720 17:23,41.89517250061035,-87.62036895751953,175,6662,66,Navy Pier,42841,False,10005589,66 -801,
1917,20220720 17:23,41.8929866069072,-87.61009999868033,181,6662,66,Navy Pier,47662,False,10005588,SN  -854,
1951,20220720 17:23,41.89280175263027,-87.6100082397461,196,6662,66,Navy Pier,47763,False,10005586,66 -808,
1973,20220720 17:24,41.892285,-87.61002166666667,180,6662,66,Navy Pier,47887,False,10005587,SN  -851,
4087,20220720 17:23,41.89646114002574,-87.6203446821733,3,6665,66,Austin,4668,False,88353411,66 -807,
2016,20220720 17:23,41.89673433303833,-87.6279411315918,269,6665,66,Austin,6855,False,88353409,66 -853,
8122,20220720 17:23,41.89601135253906,-87.6709408643769,269,6665,66,Austin,19090,False,88353405,66 -856,
2000,20220720 17:24,41.89590942382812,-87.6770263671875,268,6665,66,Austin,20839,False,88353403,66 -810,
4078,20220720 17:23,41.89540481567383,-87.72535547220482,273,6665,66,Austin,34263,False,88353398,66 -804,
8147,20220720 17:23,41.895067850748696,-87.77490234375,77,6665,66,Austin,47904,False,88353397,66 -817,
8187,20220720 17:23,41.89517755977443,-87.7747706428903,98,6665,66,Austin,47971,False,88353396,66 -854,
8191,20220720 17:24,41.89512213345232,-87.77447351916084,269,6665,66,Austin,48055,False,10005594,SN  -858,
4081,20220720 17:26,41.896493738347836,-87.62034606933594,0,4357,66,Pulaski,4680,False,88353410,66 -812,
2027,20220720 17:27,41.89652778362406,-87.63992888351967,267,4357,66,Pulaski,10276,False,88353410,66 -812,
4098,20220720 17:26,41.8962311063494,-87.66164711543492,274,4357,66,Pulaski,16441,False,88353408,66 -857,
4122,20220720 17:27,41.895987877478966,-87.67254579984225,267,4357,66,Pulaski,19604,False,88353406,66 -811,
8172,20220720 17:26,41.89585876464844,-87.68349034445626,268,4357,66,Pulaski,22826,False,88353402,66 -816,
8162,20220720 17:26,41.89582443237305,-87.68500113487244,267,4357,66,Pulaski,23229,False,88353404,66 -855,
8191,20220720 17:27,41.89482116699219,-87.76683044433594,89,6662,66,Navy Pier,2177,False,10005632,SN  -858,
4126,20220720 17:26,41.89489291264461,-87.74824010408841,86,6662,66,Navy Pier,7256,False,10005630,66 -803,
8156,20220720 17:27,41.895589247993804,-87.69886381729789,80,6662,66,Navy Pier,20818,False,10005608,SN  -857,
1972,20220720 17:27,41.89569854736328,-87.69243392944335,90,6662,66,Navy Pier,22555,False,10005607,66 -815,
1983,20220720 17:27,41.89639053344727,-87.64808349609375,91,6662,66,Navy Pier,34683,False,10005596,N66 -892,
4075,20220720 17:27,41.89673614501953,-87.62221050262451,88,6662,66,Navy Pier,41796,False,10005590,66 -809,
1934,20220720 17:27,41.89214639663696,-87.62025451660156,178,6662,66,Navy Pier,43951,False,10005589,66 -801,
1917,20220720 17:26,41.8929866069072,-87.61009999868033,181,6662,66,Navy Pier,47662,False,10005588,SN  -854,
1951,20220720 17:26,41.89280175263027,-87.6100082397461,196,6662,66,Navy Pier,47763,False,10005586,66 -808,
1973,20220720 17:27,41.892311096191406,-87.60999298095703,180,6662,66,Navy Pier,47887,False,10005587,SN  -851,
4087,20220720 17:26,41.89677810668945,-87.62469482421875,271,6665,66,Austin,5974,False,88353411,66 -807,
2016,20220720 17:27,41.89666976928711,-87.63212127685547,262,6665,66,Austin,7990,False,88353409,66 -853,
8122,20220720 17:27,41.89588928222656,-87.68232938326322,269,6665,66,Austin,22506,False,88353405,66 -856,
2000,20220720 17:26,41.89585943070669,-87.68417261517237,264,6665,66,Austin,23025,False,88353403,66 -810,
4078,20220720 17:26,41.89526171800567,-87.73343360714796,269,6665,66,Austin,36489,False,88353398,66 -804,
8147,20220720 17:26,41.895067850748696,-87.77490234375,77,6665,66,Austin,47904,False,88353397,66 -817,
8187,20220720 17:26,41.894901275634766,-87.77444458007812,98,6665,66,Austin,48050,False,88353396,66 -854,
4081,20220720 17:28,41.896823978424074,-87.62199039459229,271,4357,66,Pulaski,5239,False,88353410,66 -812,
2027,20220720 17:29,41.89651099310981,-87.64093390570747,268,4357,66,Pulaski,10544,False,88353410,66 -812,
4098,20220720 17:29,41.89608573913574,-87.66683959960938,273,4357,66,Pulaski,17871,False,88353408,66 -857,
