vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
8024,20220720 17:23,41.954490661621094,-87.6550064086914,261,4658,X9,95th,983,False,10002342,X9  -662,
8071,20220720 17:23,41.904856657370544,-87.66761779785156,180,4658,X9,95th,23052,False,10002340,X9  -660,
8219,20220720 17:23,41.87924415186832,-87.66680908203125,176,4658,X9,95th,32409,False,10002339,X9  -658,
1443,20220720 17:23,41.85262839738713,-87.66606903076172,179,4658,X9,95th,42249,False,10002337,X9  -661,
8223,20220720 17:23,41.79881886073521,-87.6648178100586,178,4658,X9,95th,62722,False,10002336,X9  -659,
8061,20220720 17:23,41.79052225748698,-87.66461181640625,178,4658,X9,95th,65738,False,10002335,X9  -657,
8013,20220720 17:23,41.7742640351596,-87.66405487060547,179,4658,X9,95th,71744,False,10002334,X9  -656,
8094,20220720 17:24,41.72051166666667,-87.66303,186,4658,X9,95th,91302,False,10001787,X9  -654,
8074,20220720 17:24,41.753520774841306,-87.66342582702637,358,8470,X9,Irving Park/Broadway,12226,False,10001764,N9  -696,
8095,20220720 17:23,41.839210679796004,-87.6656723022461,231,8470,X9,Irving Park/Broadway,44176,False,10001766,9 -609,
8043,20220720 17:24,41.8582094300468,-87.6660177842626,0,8470,X9,Irving Park/Broadway,51136,False,10001767,9 -608,
8093,20220720 17:23,41.90338527622507,-87.66742774621764,3,8470,X9,Irving Park/Broadway,67681,False,10002331,9 -655,
8025,20220720 17:23,41.943887042999265,-87.66868591308594,358,8470,X9,Irving Park/Broadway,82528,False,10002330,X9  -612,
1453,20220720 17:24,41.9544928515399,-87.65489253291378,178,8470,X9,Irving Park/Broadway,90280,False,10002329,X9  -603,
8033,20220720 17:24,41.954139103965154,-87.65027412535652,333,8470,X9,Irving Park/Broadway,92944,False,10002328,X9  -663,
8024,20220720 17:26,41.954490661621094,-87.6550064086914,261,4658,X9,95th,983,True,10002342,X9  -662,
8071,20220720 17:26,41.90201377868652,-87.66753053665161,178,4658,X9,95th,24078,False,10002340,X9  -660,
8219,20220720 17:26,41.8724973042806,-87.66662241617838,179,4658,X9,95th,34892,False,10002339,X9  -658,
1443,20220720 17:26,41.84391804745323,-87.66594696044922,179,4658,X9,95th,45414,False,10002337,X9  -661,
8223,20220720 17:26,41.78942717628917,-87.66456604003906,179,4658,X9,95th,66137,False,10002336,X9  -659,
8061,20220720 17:27,41.778961181640625,-87.66427612304688,165,4658,X9,95th,70000,False,10002335,X9  -657,
8013,20220720 17:26,41.76801174634124,-87.66391534674658,176,4658,X9,95th,74012,False,10002334,X9  -656,
8094,20220720 17:27,41.72051166666667,-87.66303,186,4658,X9,95th,91302,False,10001787,X9  -654,
8074,20220720 17:27,41.768029628655846,-87.66380310058594,358,8470,X9,Irving Park/Broadway,17523,False,10001764,N9  -696,
8095,20220720 17:27,41.85346930367606,-87.66593933105469,358,8470,X9,Irving Park/Broadway,49412,False,10001766,9 -609,
8043,20220720 17:26,41.866747977516866,-87.66628251509233,357,8470,X9,Irving Park/Broadway,54256,False,10001767,9 -608,
8093,20220720 17:26,41.91075134277344,-87.66758728027344,2,8470,X9,Irving Park/Broadway,70349,False,10002331,9 -655,
8025,20220720 17:26,41.95287246704102,-87.66892700195312,357,8470,X9,Irving Park/Broadway,85821,False,10002330,X9  -612,
1453,20220720 17:27,41.9544928515399,-87.65489253291378,178,8470,X9,Irving Park/Broadway,90280,False,10002329,X9  -603,
8033,20220720 17:26,41.95454025268555,-87.6509016770583,265,8470,X9,Irving Park/Broadway,93230,False,10002328,X9  -663,
8024,20220720 17:28,41.954490661621094,-87.6550064086914,261,4658,X9,95th,983,True,10002342,X9  -662,
8071,20220720 17:29,41.89620810495296,-87.66738601469658,179,4658,X9,95th,26185,False,10002340,X9  -660,
8219,20220720 17:29,41.865638732910156,-87.66636657714844,181,4658,X9,95th,37457,False,10002339,X9  -658,
1443,20220720 17:29,41.83897466659546,-87.66554889678955,251,4658,X9,95th,47973,False,10002337,X9  -661,
8223,20220720 17:29,41.7783667522928,-87.6641845703125,178,4658,X9,95th,70230,False,10002336,X9  -659,
